config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
n_givens=14,trm_mixer_nomix-ff_matched,coherence_excess,5.453841571506929e-07,6.89876547282918e-08,6,6,0,0.03125,6,1.0
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,-0.0002962962962962945,0.0006230318806287738,6,1,5,0.21875,5,1.0
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,1.6371384629057397e-13,3.3341206269116563e-13,6,5,1,0.21875,6,1.0
n_givens=14,trm_mixer-trm_mixer_unsharedro,accuracy,0.0011805555555555365,0.0021862187605854516,6,5,1,0.21875,3,1.0
n_givens=14,trm_mixer-trm_mixer_unsharedro,exact_match,0.015499999999999995,0.03192961008217919,6,5,1,0.21875,0,0.21875
n_givens=14,trm_mixer-trm_mixer_unsharedro,coherence_excess,-0.013214855782135123,0.02246030002083078,6,2,4,0.6875,0,0.6875
n_givens=14,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.5001712962962963,0.0031412929174808764,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.8776666666666665,0.04216475621495595,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.15116678835794342,0.03335186768944864,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,0.000861111111111118,0.0019342590376398286,6,4,2,0.6875,3,1.0
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_distinctw,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=14,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,-4.1423691503120165e-13,9.769707262965432e-13,6,2,4,0.6875,6,1.0
n_givens=14,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.17893981481481483,0.002136645047173964,6,0,6,0.03125,0,0.03125
n_givens=14,trm_mixer_nomix_unsharedro-ff_matched,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=14,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,5.453839934368467e-07,6.898768094475311e-08,6,6,0,0.03125,6,1.0
n_givens=14,trm_mixer-ff_matched,accuracy,0.32241203703703697,0.002526184886801538,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer-ff_matched,exact_match,0.8931666666666667,0.01858404333471775,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer-ff_matched,coherence_excess,0.13795247795980173,0.013726125862509946,6,6,0,0.03125,0,0.03125
n_givens=14,trm_flat-ff_matched,accuracy,-0.0011250000000000242,0.0032450223039428303,6,2,4,0.6875,2,1.0
n_givens=14,trm_flat-ff_matched,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=14,trm_flat-ff_matched,coherence_excess,3.259824163116423e-08,9.51505149441727e-08,6,4,2,0.6875,6,1.0
